SE,small,0-0,6-0,6-6,0-6
BG,-6,-3,ancientRuins,BC0,-1
BG,-6,-2,ancientRuins,BC0,-1
BG,-6,-1,ancientRuins,BC0,-1
BG,-6,0,ancientRuins,BC0,-1
BG,-6,1,ancientRuins,BC0,-1
BG,-6,2,ancientRuins,BC0,-1
BG,-6,3,ancientRuins,BC0,-1
BG,-6,4,ancientRuins,BC0,-1
BG,-6,5,ancientRuins,BC0,-1
BG,-6,6,ancientRuins,BC0,-1
BG,-6,7,ancientRuins,BC0,-1
BG,-6,8,ancientRuins,BC0,-1
BG,-6,9,ancientRuins,BC0,-1
BG,-6,10,ancientRuins,BC1,-1
BG,-5,-3,ancientRuins,BC1,-1
BG,-5,-2,ancientRuins,BC1,-1
BG,-5,-1,ancientRuins,BC0,-1
BG,-5,0,ancientRuins,BC0,-1
BG,-5,1,ancientRuins,BC0,-1
BG,-5,2,ancientRuins,BC0,-1
BG,-5,3,ancientRuins,BC0,-1
BG,-5,4,ancientRuins,BC0,-1
BG,-5,5,ancientRuins,BC1,-1
BG,-5,6,ancientRuins,BC0,-1
BG,-5,7,ancientRuins,BC0,-1
BG,-5,8,ancientRuins,BC0,-1
BG,-5,9,ancientRuins,BC0,-1
BG,-5,10,ancientRuins,BC1,-1
BG,-4,-3,ancientRuins,BC0,-1
BG,-4,-2,ancientRuins,BC0,-1
BG,-4,-1,ancientRuins,BC1,-1
BG,-4,0,ancientRuins,BC0,-1
BG,-4,1,ancientRuins,BC0,-1
BG,-4,2,ancientRuins,BC0,-1
BG,-4,3,ancientRuins,BC0,-1
BG,-4,4,ancientRuins,BC0,-1
BG,-4,5,ancientRuins,BC0,-1
BG,-4,6,ancientRuins,BC1,-1
BG,-4,7,ancientRuins,BC0,-1
BG,-4,8,ancientRuins,BC0,-1
BG,-4,9,ancientRuins,BC0,-1
BG,-4,10,ancientRuins,BC0,-1
BG,-3,-3,ancientRuins,BC0,-1
BG,-3,-2,ancientRuins,BC0,-1
BG,-3,-1,ancientRuins,BC0,-1
BG,-3,0,ancientRuins,BC0,-1
BG,-3,1,ancientRuins,BC0,-1
BG,-3,2,ancientRuins,BC0,-1
BG,-3,3,ancientRuins,BC1,-1
BG,-3,4,ancientRuins,BC0,-1
BG,-3,5,ancientRuins,BC0,-1
BG,-3,6,ancientRuins,BC0,-1
BG,-3,7,ancientRuins,BC0,-1
BG,-3,8,ancientRuins,BC1,-1
BG,-3,9,ancientRuins,BC0,-1
BG,-3,10,ancientRuins,BC1,-1
BG,-2,-3,ancientRuins,BC1,-1
BG,-2,-2,ancientRuins,BC0,-1
BG,-2,-1,ancientRuins,BC0,-1
BG,-2,0,ancientRuins,BC0,-1
BG,-2,1,ancientRuins,BC1,-1
BG,-2,2,ancientRuins,BC0,-1
BG,-2,3,ancientRuins,BC1,-1
BG,-2,4,ancientRuins,BC0,-1
BG,-2,5,ancientRuins,BC0,-1
BG,-2,6,ancientRuins,BC1,-1
BG,-2,7,ancientRuins,BC0,-1
BG,-2,8,ancientRuins,BC0,-1
BG,-2,9,ancientRuins,BC0,-1
BG,-2,10,ancientRuins,BC1,-1
BG,-1,-3,ancientRuins,BC0,-1
BG,-1,-2,ancientRuins,BC1,-1
BG,-1,-1,ancientRuins,BLD,-1
BG,-1,0,ancientRuins,BL0,-1
BG,-1,1,ancientRuins,BL0,-1
BG,-1,2,ancientRuins,BL0,-1
BG,-1,3,ancientRuins,BL0,-1
BG,-1,4,ancientRuins,BL0,-1
BG,-1,5,ancientRuins,BL0,-1
BG,-1,6,ancientRuins,BL0,-1
BG,-1,7,ancientRuins,BLU,-1
BG,-1,8,ancientRuins,BC1,-1
BG,-1,9,ancientRuins,BC0,-1
BG,-1,10,ancientRuins,BC0,-1
BG,0,-3,ancientRuins,BC1,-1
BG,0,-2,ancientRuins,BC0,-1
BG,0,-1,ancientRuins,BD0,-1
B,0,0,ancientRuins,C1,-1
B,0,1,ancientRuins,C1,-1
B,0,2,ancientRuins,C1,-1
B,0,3,ancientRuins,C0,-1
B,0,4,ancientRuins,C1,-1
B,0,5,ancientRuins,C1,-1
B,0,6,ancientRuins,C0,-1
BG,0,7,ancientRuins,BU0,-1
BG,0,8,ancientRuins,BC0,-1
BG,0,9,ancientRuins,BC0,-1
BG,0,10,ancientRuins,BC0,-1
BG,1,-3,ancientRuins,BC0,-1
BG,1,-2,ancientRuins,BC0,-1
BG,1,-1,ancientRuins,BD0,-1
