SE,small,1-1,1-2,1-3,1-4
BG,0,-3,rapidRiver,BC3,-1
BG,0,-2,rapidRiver,BC2,-1
BG,0,-1,rapidRiver,BC0,-1
B,0,0,rapidRiver,C2,-1
B,0,1,rapidRiver,C0,-1
B,0,2,rapidRiver,C0,-1
B,0,3,rapidRiver,C0,-1
B,0,4,rapidRiver,C0,-1
B,0,5,rapidRiver,C1,-1
BG,0,6,rapidRiver,BC0,-1
BG,0,7,rapidRiver,BC1,-1
BG,0,8,rapidRiver,BC3,-1
BG,0,9,rapidRiver,BC3,-1
BG,1,-3,rapidRiver,BC5,-1
BG,1,-2,rapidRiver,BC2,-1
BG,1,-1,rapidRiver,BC0,-1
B,1,0,rapidRiver,C2,-1
B,1,1,rapidRiver,C0,-1
B,1,2,rapidRiver,C0,-1
B,1,3,rapidRiver,C0,-1
B,1,4,rapidRiver,C0,-1
B,1,5,rapidRiver,C1,-1
BG,1,6,rapidRiver,BC0,-1
BG,1,7,rapidRiver,BC1,-1
BG,1,8,rapidRiver,BC3,-1
BG,1,9,rapidRiver,BC3,-1
BG,2,-3,rapidRiver,BC3,-1
BG,2,-2,rapidRiver,BC2,-1
BG,2,-1,rapidRiver,BC0,-1
B,2,0,rapidRiver,C2,-1
B,2,1,rapidRiver,C0,-1
B,2,2,rapidRiver,C0,-1
B,2,3,rapidRiver,C0,-1
B,2,4,rapidRiver,C0,-1
B,2,5,rapidRiver,C1,-1
BG,2,6,rapidRiver,BC0,-1
BG,2,7,rapidRiver,BC1,-1
BG,2,8,rapidRiver,BC5,-1
BG,2,9,rapidRiver,BC3,-1
BG,3,-3,rapidRiver,BC3,-1
BG,3,-2,rapidRiver,BC2,-1
BG,3,-1,rapidRiver,BC0,-1
B,3,0,rapidRiver,C2,-1
B,3,1,rapidRiver,C0,-1
B,3,2,rapidRiver,C0,-1
B,3,3,rapidRiver,C0,-1
B,3,4,rapidRiver,C0,-1
B,3,5,rapidRiver,C1,-1
BG,3,6,rapidRiver,BC0,-1
BG,3,7,rapidRiver,BC1,-1
BG,3,8,rapidRiver,BC3,-1
BG,3,9,rapidRiver,BC3,-1
BG,4,-3,rapidRiver,BC4,-1
BG,4,-2,rapidRiver,BC2,-1
BG,4,-1,rapidRiver,BC0,-1
B,4,0,rapidRiver,C2,-1
B,4,1,rapidRiver,TE,-1
B,4,2,rapidRiver,C0,-1
B,4,3,rapidRiver,C0,-1
B,4,4,rapidRiver,TE,-1
B,4,5,rapidRiver,C1,-1
BG,4,6,rapidRiver,BC0,-1
BG,4,7,rapidRiver,BC1,-1
BG,4,8,rapidRiver,BC3,-1
BG,4,9,rapidRiver,BC3,-1
BG,5,-3,rapidRiver,BC3,-1
BG,5,-2,rapidRiver,BC2,-1
BG,5,-1,rapidRiver,BC0,-1
B,5,0,rapidRiver,C2,-1
B,5,1,rapidRiver,C0,-1
B,5,2,rapidRiver,C0,-1
B,5,3,rapidRiver,C0,-1
B,5,4,rapidRiver,C0,-1
B,5,5,rapidRiver,C1,-1
BG,5,6,rapidRiver,BC0,-1
BG,5,7,rapidRiver,BC1,-1
BG,5,8,rapidRiver,BC3,-1
BG,5,9,rapidRiver,BC5,-1
BG,6,-3,rapidRiver,BC3,-1
BG,6,-2,rapidRiver,BC2,-1
BG,6,-1,rapidRiver,BC0,-1
B,6,0,rapidRiver,C2,-1
B,6,1,rapidRiver,C0,-1
B,6,2,rapidRiver,C0,-1
B,6,3,rapidRiver,C0,-1
B,6,4,rapidRiver,C0,-1
B,6,5,rapidRiver,C1,-1
BG,6,6,rapidRiver,BC0,-1
BG,6,7,rapidRiver,BC1,-1
BG,6,8,rapidRiver,BC3,-1
BG,6,9,rapidRiver,BC3,-1
BG,7,-3,rapidRiver,BC3,-1
BG,7,-2,rapidRiver,BC2,-1
BG,7,-1,rapidRiver,BC0,-1
B,7,0,rapidRiver,C2,-1
B,7,1,rapidRiver,C0,-1
B,7,2,rapidRiver,C0,-1
B,7,3,rapidRiver,C0,-1
B,7,4,rapidRiver,C0,-1
B,7,5,rapidRiver,C1,-1
BG,7,6,rapidRiver,BC0,-1
BG,7,7,rapidRiver,BC1,-1
BG,7,8,rapidRiver,BC4,-1
BG,7,9,rapidRiver,BC3,-1
